Les Escaldes,Andorra,1
Andorra La Vella,Andorra,1
Umm Al Qaywayn,United Arab Emirates,1
Ras Al-Khaimah,United Arab Emirates,1
Khawr Fakkan,United Arab Emirates,1
Dubai,United Arab Emirates,1
Diba,United Arab Emirates,1
Sharjah,United Arab Emirates,1
Ar Ruways,United Arab Emirates,1
Al Fujayrah,United Arab Emirates,1
Al Ain,United Arab Emirates,1
Ajman,United Arab Emirates,1
Adh Dhayd,United Arab Emirates,1
Abu Dhabi,United Arab Emirates,1
Zaranj,Afghanistan,1
Taloqan,Afghanistan,1
Shindand,Afghanistan,1
Shibirghan,Afghanistan,1
Shahrak,Afghanistan,1
Sar-E Pul,Afghanistan,1
Sang-E Charak,Afghanistan,1
Aibak,Afghanistan,1
Rustaq,Afghanistan,1
Qarqin,Afghanistan,1
Qarawul,Afghanistan,1
Pul-E Khumri,Afghanistan,1
Paghman,Afghanistan,1
Nili,Afghanistan,1
Nahrin,Afghanistan,1
Maymana,Afghanistan,1
Mehtar Lam,Afghanistan,1
Mazar-E Sharif,Afghanistan,1
Lashkar Gah,Afghanistan,1
Kushk,Afghanistan,1
Kunduz,Afghanistan,1
Khost,Afghanistan,1
Khulm,Afghanistan,1
Khash,Afghanistan,1
Khanabad,Afghanistan,1
Karukh,Afghanistan,1
Kandahar,Afghanistan,1
Kabul,Afghanistan,1
Jalalabad,Afghanistan,1
Jabal Os Saraj,Afghanistan,1
Herat,Afghanistan,1
Ghormach,Afghanistan,1
Ghazni,Afghanistan,1
Gereshk,Afghanistan,1
Gardez,Afghanistan,1
Fayzabad,Afghanistan,1
Farah,Afghanistan,1
Kafir Qala,Afghanistan,1
Charikar,Afghanistan,1
Baraki Barak,Afghanistan,1
Bamyan,Afghanistan,1
Balkh,Afghanistan,1
Baghlan,Afghanistan,1
Art Khwajah,Afghanistan,1
Asmar,Afghanistan,1
Asadabad,Afghanistan,1
Andkhoy,Afghanistan,1
Bazarak,Afghanistan,1
Markaz-E Woluswali-Ye Achin,Afghanistan,1
Cool Urhajo,Afghanistan,1
Saint John'S,Antigua,1
The Valley,Anguilla,1
Sarande,Albania,1
Kukes,Albania,1
